Student_ID,Student_Name,Gender,Department,Semester,Attendance_Percentage,GPA,Assignment_Score,Quiz_Score,Internal_Marks,LMS_Login_Count,Study_Hours_Per_Week,Backlog_Count,Last_Login_Date,Admission_Year,Probation_Status
S0044,Uma Chandran,Female,CIVIL,3,70,4.21,98,36,83,227,5,6,31-01-2026,2023,Yes
S0045,Pavithra Murthy,Female,AI&DS,2,97,8.49,41,77,42,32,35,0,16-08-2025,2024,No
S0046,Nisha Kumar,Female,ECE,3,91,8.26,65,98,80,57,1,2,31-03-2026,2022,No
S0047,Siddharth Patel,Male,CIVIL,1,66,6.41,38,93,85,195,32,1,05-11-2025,2022,No
S0048,Archana Nathan,Female,ECE,4,49,5.74,88,36,96,201,34,1,04-03-2026,2022,Yes
S0049,Ananya Raman,Female,MECH,5,70,7.28,44,67,79,197,14,1,23-07-2025,2024,No
S0050,Sita Raghavan,Female,ECE,5,88,8.32,56,59,90,2,35,1,25-10-2025,2025,No
S0051,Swati Verma,Female,CIVIL,4,55,3.98,53,48,66,157,12,1,08-02-2026,2022,Yes
S0052,Praveen Raghavan,Male,CSE,8,85,7.42,90,80,47,4,14,1,27-04-2026,2022,No
S0053,Maya Singh,Female,AI&DS,5,68,3.86,69,89,36,73,15,5,09-05-2026,2026,Yes
S0054,Shruti Murthy,Female,ECE,7,70,6.16,81,48,63,57,5,0,25-11-2025,2023,No
S0055,Ankit Narayanan,Male,ECE,8,40,2.72,73,35,42,43,11,3,27-10-2025,2022,Yes
S0056,Manish Krishnan,Male,AI&DS,5,48,4.46,46,54,43,144,8,3,01-02-2026,2023,Yes
S0057,Sandhya Balakrishnan,Female,EEE,2,78,6.81,53,62,60,172,34,1,20-04-2026,2026,No
S0058,Sindhu Mehta,Female,IT,3,78,6.38,56,69,90,67,35,2,27-07-2025,2022,No
S0059,Sandeep Balakrishnan,Male,CIVIL,3,70,5.62,75,39,55,32,31,0,08-07-2025,2024,No
S0060,Pranav Singh,Male,MECH,7,45,5.34,64,87,66,207,26,1,02-10-2025,2025,Yes
S0061,Kumar Nair,Male,AI&DS,6,94,7.1,67,70,57,3,17,0,29-12-2025,2022,No
S0062,Dinesh Murthy,Male,CSE,8,69,4.05,84,43,62,69,15,0,11-08-2025,2023,Yes
S0063,Pranav Srinivasan,Male,MECH,5,66,5.01,82,99,41,39,34,2,27-12-2025,2026,No
S0064,Shruti Kumar,Female,ECE,8,70,3.92,40,47,94,8,28,4,11-06-2026,2025,Yes
S0065,Janani Kumar,Female,ECE,8,40,1.56,100,43,51,186,34,1,24-06-2026,2026,Yes
S0066,Aanya Verma,Female,CIVIL,4,91,7.9,81,60,60,27,22,1,28-11-2025,2023,No
S0067,Malini Reddy,Female,ECE,6,55,4.36,99,85,95,82,17,0,26-10-2025,2024,Yes
S0068,Harish Sankar,Male,EEE,1,41,5.19,35,81,79,34,16,1,07-04-2026,2024,Yes
S0069,Abhishek Raghavan,Male,AI&DS,2,48,4.9,67,50,63,193,7,4,02-01-2026,2025,Yes
S0070,Anand Sankar,Male,CIVIL,7,90,8.12,60,42,38,13,10,2,08-09-2025,2025,No
S0071,Ramesh Rao,Male,IT,2,45,5.4,72,71,91,110,30,1,21-08-2025,2023,Yes
S0072,Anjali Sharma,Female,EEE,6,61,6.22,97,89,51,4,9,2,22-08-2025,2023,No
S0073,Diya Sharma,Female,IT,5,41,2.22,41,36,88,157,14,3,17-10-2025,2025,Yes
S0074,Sneha Nathan,Female,IT,1,59,5.18,53,73,55,73,4,0,21-05-2026,2024,Yes
S0075,Malini Raman,Female,MECH,6,67,3.96,87,79,45,132,4,6,12-06-2026,2025,Yes
S0076,Vijay Rao,Male,EEE,8,88,5.76,82,66,67,107,6,0,20-02-2026,2026,No
S0077,Manoj Nathan,Male,ECE,3,41,2.72,37,88,84,49,19,2,27-07-2025,2023,Yes
S0078,Akash Verma,Male,CIVIL,5,98,8.57,78,71,46,80,35,0,05-06-2026,2025,No
S0079,Nisha Sankar,Female,IT,3,49,5.83,46,54,63,183,20,1,20-10-2025,2025,Yes
S0080,Kumar Patel,Male,CSE,2,49,3.36,89,60,85,21,3,3,27-06-2026,2025,Yes
S0081,Kiran Subramanian,Male,MECH,4,73,5.41,60,48,45,143,1,0,03-06-2026,2024,No
S0082,Vaishnavi Raman,Female,IT,8,93,8.01,42,97,50,102,4,2,27-08-2025,2022,No
S0083,Sunil Rao,Male,AI&DS,7,61,4.63,57,60,71,139,16,3,14-04-2026,2023,Yes
S0084,Rahul Das,Male,CIVIL,4,47,3.17,53,54,60,198,34,3,21-07-2025,2022,Yes
S0085,Shruti Joshi,Female,MECH,3,67,3.71,87,46,47,86,32,5,19-03-2026,2026,Yes
S0086,Manish Krishnan,Male,CSE,7,73,6.87,86,66,51,209,32,2,04-11-2025,2024,No
S0087,Nithya Raman,Female,ECE,2,81,5.83,52,42,72,215,17,1,04-02-2026,2022,No
S0088,Maya Krishnan,Female,AI&DS,8,65,6.46,38,85,94,163,23,1,05-07-2025,2024,No
S0089,Ananya Prasad,Female,EEE,6,84,7.52,84,90,56,163,23,0,14-07-2025,2026,No
S0090,Arjun Joshi,Male,ECE,1,62,4.95,79,63,67,14,18,3,16-09-2025,2022,Yes
S0091,Aditya Srinivasan,Male,IT,3,69,6.92,57,73,83,124,25,2,14-11-2025,2026,No
S0092,Sai Chandran,Male,ECE,4,93,8.03,96,80,83,21,2,2,21-03-2026,2025,No
S0093,Maya Krishnan,Female,IT,2,99,6.85,44,50,89,239,35,2,19-06-2026,2023,No
S0094,Uma Iyer,Female,CIVIL,2,74,4.77,58,36,50,91,26,4,21-05-2026,2026,Yes
S0095,Arjun Narayanan,Male,AI&DS,7,94,5.83,63,47,35,141,34,1,03-08-2025,2025,No
S0096,Murugan Mehta,Male,EEE,3,57,4.37,71,87,73,9,31,2,03-02-2026,2024,Yes
S0097,Dinesh Sharma,Male,AI&DS,1,46,3.53,49,67,75,35,19,5,19-12-2025,2022,Yes
S0098,Meera Kumar,Female,EEE,6,47,5.86,68,75,51,147,3,2,14-10-2025,2023,Yes
S0099,Rekha Raghavan,Female,ECE,2,47,5,43,87,91,55,25,1,07-09-2025,2023,Yes
S0100,Vijay Gupta,Male,CSE,3,74,5.77,95,53,58,190,17,2,30-08-2025,2023,No
S0101,Kavita Nair,Female,CSE,1,98,8.94,50,69,96,34,31,1,20-09-2025,2022,No
S0102,Aarav Kumar,Male,IT,8,84,8.27,80,89,91,176,13,0,23-03-2026,2025,No
S0103,Malini Sankar,Female,MECH,2,44,5.83,35,62,68,154,7,0,29-09-2025,2026,Yes
S0104,Ashwin Krishnan,Male,CIVIL,2,63,5.54,60,76,73,227,27,1,09-07-2025,2022,No
S0105,Vikram Nathan,Male,ECE,7,50,3.36,65,35,85,19,20,2,07-08-2025,2023,Yes
S0106,Abirami Sankar,Female,MECH,5,70,5.34,68,79,79,7,32,0,12-09-2025,2024,No
S0107,Alok Iyer,Male,MECH,1,59,6.12,85,51,39,68,23,0,01-09-2025,2026,Yes
S0108,Radha Pillai,Female,AI&DS,6,90,6.23,81,51,72,239,1,2,18-12-2025,2025,No
S0109,Neha Verma,Female,ECE,7,76,4.5,55,68,72,58,18,3,18-04-2026,2022,Yes
S0110,Rithika Raghavan,Female,IT,2,97,9.68,64,42,98,50,1,0,18-10-2025,2025,No
S0111,Gayathri Murthy,Female,ECE,5,60,5.83,78,41,70,224,29,1,21-07-2025,2026,No
S0112,Manish Sharma,Male,CSE,2,86,5.95,46,76,44,30,21,0,28-01-2026,2025,No
S0113,Shruti Gupta,Female,CIVIL,4,54,5.15,95,38,38,226,10,1,25-08-2025,2022,Yes
S0114,Ananya Mehta,Female,CSE,8,59,4.08,65,60,90,146,3,3,18-08-2025,2023,Yes
S0115,Anjali Sharma,Female,ECE,1,63,6.74,42,48,60,198,29,2,03-06-2026,2026,No
S0116,Deepak Prasad,Male,EEE,6,54,5.89,60,66,77,109,21,0,06-05-2026,2022,Yes
S0117,Vaishnavi Srinivasan,Female,AI&DS,5,77,8.32,56,62,40,79,24,0,12-04-2026,2024,No
S0118,Harish Kumar,Male,EEE,8,76,7.73,53,60,64,207,14,2,10-08-2025,2025,No
S0119,Arun Narayanan,Male,IT,6,75,7.09,76,71,88,91,16,0,13-10-2025,2023,No
S0120,Malini Rao,Female,AI&DS,6,88,6.28,64,84,62,100,19,0,07-10-2025,2026,No
S0121,Srinidhi Iyer,Female,EEE,2,67,6.49,84,38,50,242,33,0,16-03-2026,2025,No
S0122,Naveen Iyer,Male,AI&DS,6,74,4.5,64,87,87,244,29,4,05-08-2025,2023,Yes
S0123,Lavanya Raghavan,Female,IT,7,61,6.15,63,78,60,14,33,0,28-10-2025,2024,No
S0124,Sandhya Subramanian,Female,EEE,2,58,3.28,88,55,36,220,27,1,10-09-2025,2022,Yes
S0125,Nandhini Narayanan,Female,EEE,5,63,6.71,40,73,75,33,33,1,25-08-2025,2022,No
S0126,Pavithra Chandran,Female,AI&DS,4,81,7.54,82,38,100,13,13,1,19-05-2026,2026,No
S0127,Balaji Joshi,Male,IT,5,59,6.71,73,38,42,229,32,0,30-03-2026,2025,Yes
S0128,Alok Narayanan,Male,MECH,8,92,6.62,50,56,64,207,19,1,03-12-2025,2022,No
S0129,Kumar Srinivasan,Male,EEE,4,100,5.7,57,81,87,23,5,1,26-07-2025,2022,No
S0130,Rahul Kumar,Male,ECE,2,96,6.29,67,48,96,61,27,1,09-11-2025,2025,No
S0131,Pavithra Raghavan,Female,CSE,6,67,5.49,84,65,45,40,28,1,28-06-2026,2022,No
S0132,Hari Chandran,Male,AI&DS,6,56,5.35,53,47,92,144,27,0,19-06-2026,2022,Yes
S0133,Gaurav Narayanan,Male,AI&DS,3,100,3.16,43,48,43,19,8,3,13-08-2025,2024,Yes
S0134,Preethi Raghavan,Female,ECE,5,60,5.58,84,44,58,170,5,1,11-07-2025,2023,No
S0135,Archana Kumar,Female,CSE,3,44,3.17,69,58,42,78,12,0,28-11-2025,2024,Yes
S0136,Meera Raghavan,Female,EEE,7,45,4.83,53,64,39,101,5,5,06-10-2025,2023,Yes
S0137,Ananya Singh,Female,CSE,3,100,7.38,80,44,49,147,5,0,12-12-2025,2023,No
S0138,Kavita Mehta,Female,MECH,4,56,5.99,91,57,82,32,15,0,10-07-2025,2023,Yes
S0139,Abhishek Raghavan,Male,CSE,2,47,2.59,61,50,99,226,35,6,08-08-2025,2022,Yes
S0140,Maya Iyer,Female,CSE,6,69,4.87,99,45,38,56,30,1,23-05-2026,2025,Yes
S0141,Ishitha Balakrishnan,Female,AI&DS,2,100,8.24,79,41,51,127,33,0,28-11-2025,2026,No
S0142,Prakash Mehta,Male,IT,8,92,6.13,59,56,64,56,5,2,29-05-2026,2022,No
S0143,Sneha Sharma,Female,EEE,3,100,9.97,64,90,41,37,10,2,09-02-2026,2025,No
S0144,Aanya Raghavan,Female,IT,7,60,6.82,59,37,93,95,30,0,05-05-2026,2025,No
S0145,Sanjay Reddy,Male,MECH,2,100,2.41,80,57,99,72,5,4,09-02-2026,2023,Yes
S0146,Deepika Raman,Female,ECE,8,85,7.5,62,74,47,99,25,0,27-01-2026,2022,No
S0147,Akash Raghavan,Male,ECE,8,85,8.94,62,100,94,95,8,0,30-11-2025,2023,No
S0148,Sunil Kumar,Male,AI&DS,4,94,9.64,43,35,91,70,7,1,21-07-2025,2025,No
S0149,Sanjay Raman,Male,IT,7,85,7.04,57,56,76,86,27,1,02-09-2025,2024,No
S0150,Sindhu Sankar,Female,AI&DS,2,43,5.53,92,80,40,96,27,2,12-08-2025,2026,Yes
S0151,Suresh Nair,Male,CSE,2,64,3.98,87,35,35,128,1,6,13-09-2025,2026,Yes
S0152,Balaji Verma,Male,IT,7,67,6.89,53,98,69,55,12,1,01-05-2026,2023,No
S0153,Ankit Joshi,Male,EEE,4,91,8.67,67,63,78,88,4,1,22-11-2025,2025,No
S0154,Akash Nathan,Male,AI&DS,1,61,6.96,56,68,92,31,8,0,01-02-2026,2023,No
S0155,Sindhu Singh,Female,AI&DS,3,68,6.65,77,100,68,36,7,0,03-05-2026,2022,No
S0156,Meenakshi Raghavan,Female,CIVIL,8,49,2.44,42,76,36,192,27,3,02-10-2025,2025,Yes
S0157,Aarav Rao,Male,ECE,1,49,2.39,100,86,92,60,10,6,27-10-2025,2023,Yes
S0158,Sneha Pillai,Female,AI&DS,4,84,8.97,49,41,82,211,14,0,13-06-2026,2023,No
S0159,Rekha Kumar,Female,EEE,6,58,5.89,85,53,41,148,4,2,01-12-2025,2026,Yes
S0160,Meenakshi Iyer,Female,IT,7,70,6.74,66,56,37,249,26,1,18-11-2025,2025,No
S0161,Deepika Pillai,Female,EEE,1,72,7.72,96,79,63,93,35,0,15-11-2025,2025,No
S0162,Ishitha Singh,Female,MECH,4,46,3,67,52,39,56,7,1,27-03-2026,2024,Yes
S0163,Sangeetha Raghavan,Female,CIVIL,6,60,6.88,39,38,65,118,1,2,11-07-2025,2022,No
S0164,Pranav Iyer,Male,AI&DS,5,68,4.85,42,68,36,76,26,5,21-12-2025,2026,Yes
S0165,Gayathri Prasad,Female,IT,1,85,6.13,89,97,59,208,14,1,21-01-2026,2026,No
S0166,Shruti Rao,Female,AI&DS,4,96,9.97,95,65,70,5,22,0,07-08-2025,2025,No
S0167,Vaishnavi Verma,Female,CIVIL,2,92,7.3,77,47,84,111,13,2,25-02-2026,2026,No
S0168,Archana Singh,Female,MECH,7,99,8.22,84,54,92,66,10,1,27-10-2025,2024,No
S0169,Lakshmi Chandran,Female,CIVIL,5,84,7.9,77,88,82,91,24,2,30-06-2026,2026,No
S0170,Lavanya Sankar,Female,AI&DS,4,96,7.94,63,41,59,99,19,2,06-06-2026,2024,No
S0171,Nikhil Narayanan,Male,CIVIL,2,64,7.3,93,68,93,10,2,1,02-04-2026,2025,No
S0172,Nandhini Kumar,Female,CSE,1,51,3.47,47,77,73,43,21,2,09-10-2025,2024,Yes
S0173,Anand Gupta,Male,ECE,7,40,4.14,96,50,84,20,2,0,11-07-2025,2022,Yes
S0174,Alok Krishnan,Male,MECH,2,47,3.11,91,50,86,21,11,0,29-03-2026,2022,Yes
S0175,Gayathri Nathan,Female,MECH,4,72,4.36,45,94,85,12,2,1,15-11-2025,2025,Yes
S0176,Vijay Nair,Male,AI&DS,8,100,8.05,52,99,75,235,6,2,06-11-2025,2022,No
S0177,Kumar Raman,Male,IT,5,51,4.33,60,39,91,119,32,5,01-04-2026,2023,Yes
S0178,Gayathri Gupta,Female,EEE,5,62,3.86,36,62,73,114,17,0,10-10-2025,2022,Yes
S0179,Sangeetha Prasad,Female,IT,4,89,7.95,72,52,43,221,8,0,01-08-2025,2026,No
S0180,Suresh Subramanian,Male,CIVIL,2,81,5.66,71,82,73,162,15,2,20-03-2026,2023,No
S0181,Aarav Prasad,Male,MECH,5,53,2.5,87,44,37,52,23,6,30-11-2025,2026,Yes
S0182,Swati Reddy,Female,CIVIL,8,85,8.98,39,68,59,48,13,2,04-04-2026,2022,No
S0183,Gaurav Raghavan,Male,CIVIL,8,83,5.14,36,86,88,138,2,0,17-08-2025,2024,No
S0184,Pranav Chandran,Male,IT,5,94,8.71,39,84,64,215,18,1,25-10-2025,2022,No
S0185,Ranya Verma,Female,ECE,4,90,5.61,86,80,55,205,14,1,08-10-2025,2022,No
S0186,Balaji Prasad,Male,MECH,2,85,8.77,59,35,66,192,34,1,19-02-2026,2024,No
S0187,Alok Raghavan,Male,CIVIL,6,72,5.34,70,64,60,178,1,1,17-08-2025,2026,No
S0188,Praveen Gupta,Male,ECE,5,53,3.27,76,47,93,94,21,0,20-03-2026,2024,Yes
S0189,Karthik Sharma,Male,MECH,8,90,6.75,75,50,89,40,5,1,20-11-2025,2025,No
S0190,Shalini Sankar,Female,AI&DS,3,79,8.3,79,36,54,56,9,2,22-12-2025,2025,No
S0191,Naveen Sankar,Male,MECH,4,50,2.64,59,57,72,215,9,2,23-02-2026,2026,Yes
S0192,Venkat Verma,Male,ECE,4,64,4.07,65,83,48,181,2,5,16-03-2026,2023,Yes
S0193,Vaishnavi Raghavan,Female,IT,2,59,5.66,93,41,78,174,31,0,11-08-2025,2023,Yes
S0194,Rohan Iyer,Male,AI&DS,3,97,9.14,54,35,56,250,26,1,25-05-2026,2022,No
S0195,Vijay Singh,Male,IT,8,53,2.79,67,48,69,155,28,4,12-07-2025,2025,Yes
S0196,Kumar Patel,Male,IT,4,69,6.02,42,59,48,112,9,0,11-07-2025,2023,No
S0197,Pranav Singh,Male,CSE,8,67,5.38,95,48,57,229,22,2,23-07-2025,2022,No
S0198,Ram Balakrishnan,Male,ECE,2,72,7.12,64,89,92,234,30,2,14-09-2025,2022,No
S0199,Vidya Singh,Female,MECH,1,75,5.22,53,66,79,151,30,0,28-02-2026,2023,No
S0200,Preethi Prasad,Female,CIVIL,2,94,6.9,85,50,91,181,26,1,08-04-2026,2025,No
S0201,Ajay Patel,Male,CIVIL,7,100,9.85,62,65,74,165,30,1,29-01-2026,2022,No
S0202,Divya Prasad,Female,CSE,7,83,8.03,97,38,53,193,13,2,25-02-2026,2024,No
S0203,Nikhil Patel,Male,AI&DS,5,57,5.92,61,90,100,138,10,2,21-09-2025,2025,Yes
S0204,Rajesh Nair,Male,CIVIL,7,92,7.88,78,86,52,109,16,0,12-09-2025,2022,No
S0205,Varun Rao,Male,AI&DS,5,96,6.8,88,88,64,156,5,2,28-05-2026,2022,No
S0206,Sai Patel,Male,ECE,6,98,8.29,89,35,71,138,20,0,08-02-2026,2025,No
S0207,Ram Gupta,Male,MECH,8,56,3.1,70,62,50,202,11,2,10-02-2026,2022,Yes
S0208,Akash Nair,Male,EEE,7,68,5.63,97,98,88,222,22,2,07-01-2026,2026,No
S0209,Ramesh Iyer,Male,IT,7,87,6.98,90,77,75,14,8,1,09-09-2025,2025,No
S0210,Akash Verma,Male,ECE,1,54,2.53,57,93,95,50,33,4,16-09-2025,2025,Yes
S0211,Aarav Gupta,Male,ECE,7,81,7.13,98,38,67,68,30,1,07-07-2025,2024,No
S0212,Nisha Nathan,Female,IT,3,67,4.2,91,92,86,118,21,1,21-04-2026,2026,Yes
S0213,Swati Narayanan,Female,EEE,3,81,7.58,55,80,61,79,30,0,26-03-2026,2024,No
S0214,Gayathri Iyer,Female,CSE,7,96,6.16,92,91,96,202,33,0,16-07-2025,2025,No
S0215,Rekha Balakrishnan,Female,CIVIL,3,57,3.36,91,52,94,65,15,5,16-05-2026,2023,Yes
S0216,Murugan Sankar,Male,AI&DS,1,85,7.49,57,35,53,112,30,1,17-09-2025,2025,No
S0217,Archana Sharma,Female,EEE,7,80,6,94,83,93,234,31,1,06-02-2026,2025,No
S0218,Deepika Joshi,Female,IT,8,69,5.87,70,74,59,170,14,1,25-06-2026,2022,No
S0219,Ajay Narayanan,Male,CSE,8,60,3.48,77,40,44,148,24,1,03-09-2025,2024,Yes
S0220,Rahul Murthy,Male,ECE,6,74,5.51,46,80,45,230,17,2,01-06-2026,2026,No
S0221,Ramya Raghavan,Female,CIVIL,1,50,3.63,38,57,35,28,18,0,25-01-2026,2026,Yes
S0222,Shruti Srinivasan,Female,AI&DS,2,81,4.9,94,74,70,53,11,2,17-05-2026,2022,Yes
S0223,Deepika Raman,Female,CIVIL,4,75,4.26,46,39,86,162,35,1,29-08-2025,2026,Yes
S0224,Murugan Verma,Male,ECE,8,94,9.66,52,78,53,205,29,2,15-06-2026,2024,No
S0225,Arun Verma,Male,CSE,8,71,4.54,74,88,75,154,31,1,26-05-2026,2024,Yes
S0226,Anjali Pillai,Female,CSE,7,62,4.22,70,54,67,244,24,3,06-09-2025,2022,Yes
S0227,Ankit Gupta,Male,IT,5,82,5.04,95,71,62,228,30,0,25-02-2026,2025,No
S0228,Sneha Gupta,Female,CIVIL,8,100,10,69,68,56,246,4,1,12-03-2026,2024,No
S0229,Gayathri Sankar,Female,IT,6,87,6.93,90,76,59,172,19,1,15-03-2026,2024,No
S0230,Shalini Narayanan,Female,IT,6,92,6.74,60,50,59,53,3,0,24-10-2025,2023,No
S0231,Sanjay Srinivasan,Male,CSE,8,91,8.54,63,67,69,132,29,1,08-06-2026,2024,No
S0232,Rajesh Chandran,Male,CIVIL,3,70,6.86,58,48,91,6,1,2,17-06-2026,2024,No
S0233,Sneha Kumar,Female,ECE,7,76,5.86,74,96,61,174,16,0,24-06-2026,2026,No
S0234,Sowmya Reddy,Female,CIVIL,4,80,6.5,73,46,76,242,13,1,16-10-2025,2026,No
S0235,Vijay Singh,Male,CIVIL,4,77,4.55,74,46,47,162,12,0,26-08-2025,2022,Yes
S0236,Ajay Reddy,Male,IT,2,81,6.74,46,61,80,155,15,1,18-10-2025,2026,No
S0237,Rekha Iyer,Female,ECE,5,74,7.04,72,54,48,229,10,2,05-04-2026,2022,No
S0238,Chitra Joshi,Female,MECH,4,86,7.42,78,97,93,189,7,0,03-06-2026,2026,No
S0239,Manoj Iyer,Male,MECH,8,54,3.97,52,61,73,165,17,6,30-12-2025,2026,Yes
S0240,Sneha Srinivasan,Female,CIVIL,7,85,7.17,87,73,41,66,5,2,05-10-2025,2024,No
S0241,Rajesh Patel,Male,CSE,4,77,8.08,51,97,91,104,9,1,15-02-2026,2024,No
S0242,Sunil Pillai,Male,IT,4,54,3.77,60,93,40,230,18,4,01-08-2025,2023,Yes
S0243,Deepak Gupta,Male,AI&DS,6,80,7.89,79,77,50,68,30,1,07-08-2025,2024,No
S0244,Manish Sankar,Male,IT,2,76,5.36,80,74,78,2,34,2,17-08-2025,2023,No
S0245,Preethi Krishnan,Female,MECH,3,83,7.04,37,69,100,27,22,1,06-03-2026,2024,No
S0246,Ishitha Narayanan,Female,MECH,8,88,5.55,73,74,80,114,11,2,19-02-2026,2022,No
S0247,Murugan Prasad,Male,AI&DS,6,89,6.58,80,90,50,126,35,1,17-01-2026,2026,No
S0248,Rajesh Rao,Male,ECE,7,56,6.48,43,70,57,169,9,0,26-11-2025,2026,Yes
S0249,Gaurav Gupta,Male,CSE,7,79,4.69,46,63,56,157,4,5,18-03-2026,2023,Yes
S0250,Ananya Iyer,Female,MECH,3,65,4.86,59,50,85,163,7,2,18-09-2025,2023,Yes
S0251,Pooja Murthy,Female,MECH,7,79,6.59,61,38,80,153,21,2,12-08-2025,2026,No
S0252,Naveen Pillai,Male,EEE,6,96,8.49,88,47,76,235,31,2,02-08-2025,2023,No
S0253,Preethi Verma,Female,CSE,4,63,4.79,80,52,81,179,19,6,20-11-2025,2025,Yes
S0254,Vijay Murthy,Male,AI&DS,7,47,2.2,60,66,71,92,13,3,07-05-2026,2023,Yes
S0255,Neha Pillai,Female,EEE,2,55,4.69,79,77,81,31,1,6,19-08-2025,2026,Yes
S0256,Naveen Nathan,Male,IT,3,57,4.29,58,63,64,23,20,4,27-10-2025,2022,Yes
S0257,Ajay Subramanian,Male,MECH,2,82,7.16,84,67,58,201,30,2,08-08-2025,2024,No
